Dest,ArrDelay,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalFlights,Year,Month,"(-inf, 0.0]","(0.0, 60.0]","(60.0, 120.0]","(120.0, 180.0]","(180.0, 240.0]","(240.0, 300.0]","(300.0, inf]"
CSG,1134.0,0.0,0.0,808.0,0.0,159.0,0.0,412.0,81,2016,1,45.0,25.0,8.0,3.0,,,
DHN,1538.0,0.0,0.0,1325.0,0.0,142.0,0.0,527.0,116,2016,1,71.0,32.0,7.0,5.0,1.0,,
ABY,983.0,0.0,0.0,1030.0,0.0,205.0,0.0,126.0,80,2016,1,54.0,21.0,4.0,,,,1.0
BGR,33.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,4,2016,1,1.0,3.0,,,,,
EWN,615.0,0.0,0.0,463.0,0.0,93.0,0.0,155.0,55,2016,1,29.0,23.0,3.0,,,,
ALB,4134.0,8.0,1.0,4437.0,199.0,752.0,0.0,3126.0,768,2017,1,498.0,226.0,16.0,12.0,3.0,1.0,3.0
ATL,118254.0,676.0,118.0,161822.0,24850.0,84960.0,241.0,162810.0,30135,2017,1,21103.0,6138.0,1047.0,472.0,228.0,148.0,205.0
AUS,18290.0,21.0,6.0,13892.0,2739.0,5069.0,137.0,19569.0,3743,2017,1,2217.0,1304.0,129.0,37.0,16.0,7.0,6.0
BDL,12202.0,17.0,1.0,8660.0,1217.0,2378.0,0.0,9659.0,1733,2017,1,1044.0,565.0,62.0,22.0,12.0,7.0,3.0
BOI,12852.0,11.0,3.0,6800.0,846.0,2319.0,29.0,9511.0,1206,2017,1,637.0,456.0,70.0,17.0,4.0,4.0,4.0
BOS,41322.0,169.0,9.0,41754.0,4011.0,21573.0,100.0,47949.0,9455,2017,1,5901.0,2784.0,375.0,122.0,46.0,24.0,25.0
BWI,15991.0,166.0,9.0,18577.0,2453.0,11812.0,74.0,32310.0,7645,2017,1,4864.0,2291.0,210.0,59.0,25.0,18.0,3.0
CLE,14595.0,43.0,6.0,12744.0,1674.0,5618.0,37.0,14560.0,2614,2017,1,1641.0,744.0,106.0,47.0,13.0,7.0,7.0
